0;1;2;3;4;5
user_000001;2009-05-04T13:06:09Z;a7f7df4a-77d8-4f12-8acd-5c60c93f4de8;坂本龍一;f7c1f8f8-b935-45ed-8fc8-7def69d92a10;The Last Emperor (Theme)
user_000001;2009-05-04T12:55:34Z;a7f7df4a-77d8-4f12-8acd-5c60c93f4de8;坂本龍一;475d4e50-cebb-4cd0-8cd4-c3df97987962;Tibetan Dance (Version)
user_000001;2009-05-03T15:48:25Z;ba2f4f3b-0293-4bc8-bb94-2f73b5207343;Underworld;dc394163-2b78-4b56-94e4-658597a29ef8;Boy, Boy, Boy (Switch Remix)
user_000001;2009-05-03T15:37:56Z;ba2f4f3b-0293-4bc8-bb94-2f73b5207343;Underworld;340d9a0b-9a43-4098-b116-9f79811bd508;Crocodile (Innervisions Orchestra Mix)
user_000001;2009-05-03T15:14:53Z;a16e47f5-aa54-47fe-87e4-bb8af91a9fdd;Ennio Morricone;0b04407b-f517-4e00-9e6a-494795efc73e;Ninna Nanna In Blu (Raw Deal Remix)
user_000001;2009-05-03T15:10:18Z;463a94f1-2713-40b1-9c88-dcc9c0170cae;Minus 8;4e78efc4-e545-47af-9617-05ff816d86e2;Elysian Fields
user_000001;2009-05-03T15:04:31Z;ad0811ea-e213-451d-b22f-fa1a7f9e0226;Beanfield;fb51d2c4-cc69-4128-92f5-77ec38d66859;Planetary Deadlock
user_000001;2009-05-03T14:56:25Z;309e2dfc-678e-4d09-a7a4-8eab9525b669;Dj Linus;4277434f-e3c2-41ae-9ce3-23fd157f9347;Good Morning Love Coffee Is Ready
user_000001;2009-05-03T14:50:51Z;6f3d4a7b-45b2-4c08-9306-8d271e92cb4f;Alif Tree;1151b040-8022-4965-96d2-8a4605ce456c;Deadly Species
user_000001;2009-05-03T14:46:29Z;463a94f1-2713-40b1-9c88-dcc9c0170cae;Minus 8;f78c95a8-9256-4757-9a9f-213df5c6854e;Cold Fusion
user_000001;2009-05-03T14:39:20Z;45bdb5be-ec03-484f-b58d-d22afc944b24;Wei-Chi;c4fc8802-d186-4c4d-85cd-d5d063b935c2;Clouds
user_000001;2009-05-03T14:34:06Z;3c174d9d-139b-4fa7-8f0b-ae8eceb4271c;Marsmobil;7217acaf-0f12-4cc0-95da-4fbe17b399dd;Sovatex 2055
user_000001;2009-05-03T14:28:02Z;f945fc79-fb9e-4e3e-b60a-f4a90f5a6d38;Karma;b79e44f0-2a27-4f50-8a08-ce959a48c9c0;Beach Towel
user_000001;2009-05-03T13:32:44Z;4f69da4b-55a9-434c-a150-6de477d8808f;The Young Lovers;f2a38e8c-2eb1-4f47-b3be-bf613153631e;How Lonely Does It Get
user_000001;2009-05-03T13:29:11Z;4f69da4b-55a9-434c-a150-6de477d8808f;The Young Lovers;d7ffc453-7c42-4fd7-bed6-b749e7a1a60c;You Make Me Dizzy
user_000001;2009-05-02T15:29:50Z;3d05eb8b-1644-4143-9a61-b28e33c4d85f;4Hero;41bacfc2-c594-4e07-a70d-3675f39003ec;The Awakening
user_000001;2009-05-02T15:24:45Z;3d05eb8b-1644-4143-9a61-b28e33c4d85f;4Hero;cc7da9f6-df0e-4f88-a921-0f3b13f51fd1;Stoke Up The Fire
user_000001;2009-05-02T15:19:46Z;3d05eb8b-1644-4143-9a61-b28e33c4d85f;4Hero;0024d72c-136f-49f2-9078-ce4b39b94d3f;Something In The Way
user_000001;2009-05-02T15:19:49Z;3d05eb8b-1644-4143-9a61-b28e33c4d85f;4Hero;0024d72c-136f-49f2-9078-ce4b39b94d3f;Something In The Way
